      дата       время       t_сутки             X_км                      Y_км                      Z_км                      Vx_км/с                   Vy_км/с                   Vz_км/с
   01/01/2026   00:00:00     0.000000     6342.5884509968999998    21846.7296405515009994   -11540.4468906410000004   -2.25057164309999999997   -0.98288985280000000001   -3.09757316430000000009
   01/01/2026   00:05:00     0.003472     5660.8072665084389672    21528.3645146961870722   -12456.9123596392219522   -2.29381747205585636803   -1.13916160748269595861   -3.01109619355284171128
   01/01/2026   00:10:00     0.006944     4966.7937428136195881    21163.4791144991794738   -13346.4539193208010728   -2.33210590827101888443   -1.29296915674077858864   -2.91811281673967747507
   01/01/2026   00:15:00     0.010417     4262.0477549703625662    20752.8626948569324959   -14207.1494871290184561   -2.36535437384653355621   -1.44398016682742233278   -2.81882426815629415109
   01/01/2026   00:20:00     0.013889     3548.0923196920168121    20297.4033158532182810   -15037.1394036183468703   -2.39349119621311899391   -1.59186838875781636504   -2.71344539172614683011
   01/01/2026   00:25:00     0.017361     2826.4703004346854958    19798.0859113842937411   -15834.6304456326833847   -2.41645575955630880849   -1.73631436216994787015   -2.60220417150294451797
   01/01/2026   00:30:00     0.020833     2098.7410706692445610    19255.9901489028739494   -16597.8996944036415719   -2.43419863212114510193   -1.87700610375878828423   -2.48534123415874091479
   01/01/2026   00:35:00     0.024306     1366.4771426063638744    18672.2880851281498060   -17325.2982503384120196   -2.44668166919128137718   -2.01363977883034102486   -2.36310932462512117186
   01/01/2026   00:40:00     0.027778      631.2607686960056955    18048.2416229976660187   -18015.2547866244515706   -2.45387809159304211932   -2.14592035457228911969   -2.23577275610419331608
   01/01/2026   00:45:00     0.031250     -105.3194767405106573    17385.1997755500416023   -18666.2789341501122049   -2.45577253962960555039   -2.27356223369038751075   -2.10360683571098185671
   01/01/2026   00:50:00     0.034722     -841.6721283673810043    16684.5957428246853329   -19276.9644906250157739   -2.45236110240387488509   -2.39628986711391905938   -1.96689726704958383165
   01/01/2026   00:55:00     0.038194    -1576.2062657970414293    15947.9438082453542282   -19845.9924471803027402   -2.44365132254066056653   -2.51383834452913522742   -1.82593953106222211364
   01/01/2026   01:00:00     0.041667    -2307.3349472864794572    15176.8360613182439591   -20372.1338261356599340   -2.42966217636941989467   -2.62595396155631504885   -1.68103824652328546617
   01/01/2026   01:05:00     0.045139    -3033.4786338206455572    14372.9389538219970914   -20854.2523240361465078   -2.41042402967792900774   -2.73239476244360954531   -1.53250651157977326594
   01/01/2026   01:10:00     0.048611    -3753.0685962767700925    13537.9896969963616993   -21291.3067544862325189   -2.38597856919486176809   -2.83293105720893413418   -1.38066522776547874430
   01/01/2026   01:15:00     0.052083    -4464.5502984177311094    12673.7925075480952160   -21682.3532857401512306   -2.35637871000531446287   -2.92734591221960327120   -1.22584240793897649054
   01/01/2026   01:20:00     0.055556    -5166.3867485305497720    11782.2147105870149684   -22026.5474684457243395   -2.32168847914786380111   -3.01543561325797985205   -1.06837246961526548153
   01/01/2026   01:25:00     0.059028    -5857.0618126071639882    10865.1827078818274721   -22323.1460493824014808   -2.28198287568482157512   -3.09701010017998439191   -0.90859551517799932860
   01/01/2026   01:30:00     0.062500    -6535.0834820584141571     9924.6778200845430167   -22571.5085674825856881   -2.23734770757901691449   -3.17189337233176180597   -0.74685660047385021008
   01/01/2026   01:35:00     0.065972    -7198.9870890582575544     8962.7320118139485139   -22771.0987288776907178   -2.18787940575077920874   -3.23992386394806159951   -0.58350499330293401166
   01/01/2026   01:40:00     0.069444    -7847.3384627332263581     7981.4235087128349617   -22921.4855581661570252   -2.13368481572790972558   -3.30095478881391382717   -0.41889342332959060065
   01/01/2026   01:45:00     0.072917    -8478.7370195417069354     6982.8723158005262195   -23022.3443235592673553   -2.07488096733942790624   -3.35485445352897917125   -0.25337732494636578794
   01/01/2026   01:50:00     0.076389    -9091.8187813284270753     5969.2356466317979637   -23073.4572340215331288   -2.01159482294087739256   -3.40150653877155340564   -0.08731407463095793362
   01/01/2026   01:55:00     0.079861    -9685.2593146913121425     4942.7032729455579374   -23074.7139069852018221   -1.94396300469509919625   -3.44081034801668386985    0.07893777565867793997
   01/01/2026   02:00:00     0.083333   -10257.7765854603658173     3905.4928046417044043   -23026.1116056826355223   -1.87213150146774674732   -3.47268102322030723975    0.24501926750181446515
   01/01/2026   02:05:00     0.086806   -10808.1337222612374127     2859.8449100623786077   -22927.7552456055346752   -1.79625535593154658201   -3.49704972703886791431    0.41057180589299616295
   01/01/2026   02:10:00     0.090278   -11335.1416833194807010     1808.0184866743283796   -22779.8571700658503332   -1.71649833250750694384   -3.51386379121166851527    0.57523792842708245591
   01/01/2026   02:15:00     0.093750   -11837.6618208550440086      752.2857923522078062   -22582.7366952993719806   -1.63303256680503850948   -3.52308683079139624088    0.73866207223743283024
   01/01/2026   02:20:00     0.097222   -12314.6083376201391042     -305.0724524517927606   -22336.8194260190211029   -1.54603819725635354895   -3.52469882396702734705    0.90049133713435451079
   01/01/2026   02:25:00     0.100694   -12764.9506303472181878    -1361.7719812987560153   -22042.6363427904310957   -1.45570297967360845698   -3.51869615728280255647    1.06037624339325435487
   01/01/2026   02:30:00     0.104167   -13187.7155150972583320    -2415.5299067111974169   -21700.8226630670327140   -1.36222188549008137658   -3.50509163611735289593    1.21797148264571782105
   01/01/2026   02:35:00     0.107639   -13581.9893297318314760    -3464.0696430438967059   -21312.1164781851324808   -1.26579668447923970865   -3.48391446034848307990    1.37293666033211650174
   01/01/2026   02:40:00     0.111111   -13946.9199089754436107    -4505.1258168297350313   -20877.3571690808633772   -1.16663551277782907823   -3.45521016519172788025    1.52493702818151072613
   01/01/2026   02:45:00     0.114583   -14281.7184277872672045    -5536.4491541588557832   -20397.4836039498388907   -1.06495242707106059217   -3.41904052726468293583    1.67364420519375004339
   01/01/2026   02:50:00     0.118056   -14585.6611090235555146    -6555.8113346748212535   -19873.5321215262260992   -0.96096694582950733198   -3.37548343599436709013    1.81873688561002507750
   01/01/2026   02:55:00     0.121528   -14858.0907916435786067    -7561.0098018165777138   -19306.6343041100741882   -0.85490357851834531728   -3.32463273055153303516    1.95990153237190649447
   01/01/2026   03:00:00     0.125000   -15098.4183559926863278    -8549.8725190003942851   -18698.0145449193215921   -0.74699134372995398227   -3.26659800256392996495    2.09683305458539245478
   01/01/2026   03:05:00     0.128472   -15306.1240029858683060    -9520.2626615219288242   -18048.9874147851132467   -0.63746327722048040795   -3.20150436492999540018    2.22923546752590038232
   01/01/2026   03:10:00     0.131944   -15480.7583843136812600   -10470.0832340656059039   -17360.9548336449684065   -0.52655593085958718512   -3.12949218712525667019    2.35682253374275888251
   01/01/2026   03:15:00     0.135417   -15621.9435810993300962   -11397.2816038369493228   -16635.4030527169557327   -0.41450886353006082273   -3.05071679746573545702    2.47931838384779453053
   01/01/2026   03:20:00     0.138889   -15729.3739287506408724   -12299.8539394837371788   -15873.8994536582908319   -0.30156412504003469495   -2.96534815286572763751    2.59645811560232184635
   01/01/2026   03:25:00     0.142361   -15802.8166860732057906   -13175.8495461441317866   -15078.0891714225436093   -0.18796573413506611930   -2.87357047670127486397    2.70798836995041056512
   01/01/2026   03:30:00     0.145833   -15842.1125470405980105   -14023.3750871545061489   -14249.6915479297390545   -0.07395915171995547769   -2.77558186546522478629    2.81366788268393289000
   01/01/2026   03:35:00     0.149306   -15847.1759939536632391   -14840.5986831666937027   -13390.4964240518189147    0.04020924957921979450   -2.67159386497471864675    2.91326801046671035058
   01/01/2026   03:40:00     0.152778   -15817.9954910628372984   -15625.7538796638916150   -12502.3602777909221411    0.15429271836411681501   -2.56183101696693939090    3.00657322999122757472
   01/01/2026   03:45:00     0.156250   -15754.6335180744863225   -16377.1434741264155797   -11587.2022168884331155    0.26804465875972196851   -2.44653037699366006168    3.09338160909191319729
   01/01/2026   03:50:00     0.159722   -15657.2264433136171435   -17093.1431943827941193   -10646.9998344474109775    0.38121916487913167808   -2.32594100459917775244    3.17350524869396029021
   01/01/2026   03:55:00     0.163194   -15525.9842366700929643   -17772.2052199880465171    -9683.7849364785245285    0.49357155427018793121   -2.20032342683921112894    3.24677069453604359500
   01/01/2026   04:00:00     0.166667   -15361.1900228127787731   -18412.8615387990319050    -8699.6391505886548945    0.60485889914991843280   -2.06994907626986125726    3.31301931766903851365
   01/01/2026   04:05:00     0.170139   -15163.1994755148418985   -19013.7271312659840490    -7696.6894253206028638    0.71484055422941027397   -1.93509970460536159754    3.37210766280083929056
   01/01/2026   04:10:00     0.173611   -14932.4400542926984743   -19573.5029753291218313    -6677.1034299205962590    0.82327867993198803205   -1.79606677331063909007    3.42390776362944967092
   01/01/2026   04:15:00     0.177083   -14669.4100849197382708   -20090.9788651987865435    -5643.0848645563427057    0.92993875981151139214   -1.65315082245923901600    3.46830742438246763691
   01/01/2026   04:20:00     0.180556   -14374.6776857328496524   -20565.0360377060092194    -4596.8686912310900348    1.03459011098535226211   -1.50666081924851195700    3.50521046686063684193
   01/01/2026   04:25:00     0.184028   -14048.8795420037523050   -20994.6496003367372847    -3540.7162958375051847    1.13700638640823923438   -1.35691348762170230875    3.53453694236599210571
   01/01/2026   04:30:00     0.187500   -13692.7195309970566317   -21378.8907555060096950    -2476.9105919682236041    1.23696606782868988306   -1.20423262050033928457    3.55622330798092223269
