      дата       время       t_сутки             X_км                      Y_км                      Z_км                      Vx_км/с                   Vy_км/с                   Vz_км/с
   01/01/2026   00:00:00     0.000000     5783.7246898031000000    10961.8383603423009998   -22291.8995530483989995   -2.28653238800000000006    3.08910416509999999997    0.92578861040000000001
   01/01/2026   00:05:00     0.003472     5091.7625501831043455    11876.3911649758917459   -21990.1709514813361839   -2.32571765901285611449    3.00681616152403948438    1.08537326786347733951
   01/01/2026   00:10:00     0.006944     4388.7967013163198833    12765.2781309521119679   -21640.9100465747144231   -2.35987722242494682456    2.91802936315331688626    1.24261355089708974090
   01/01/2026   00:15:00     0.010417     3676.3462150729696520    13626.5780263469348608   -21244.8712611934046599   -2.38893716937672853564    2.82293545415638987982    1.39716962387975863601
   01/01/2026   00:20:00     0.013889     2955.9506886956464686    14458.4291802065007113   -20802.9101212479790615   -2.41283459786189880989    2.72173975270042481801    1.54870742334609390995
   01/01/2026   00:25:00     0.017361     2229.1669214642211361    15259.0335075708628443   -20315.9814155678703411   -2.43151775065758164436    2.61466077161752983595    1.69689937908224504261
   01/01/2026   00:30:00     0.020833     1497.5655535353219129    16026.6603983960595983   -19785.1371414163927476   -2.44494612951153353657    2.50192975054164178767    1.84142512183124060232
   01/01/2026   00:35:00     0.024306      762.7276741239931314    16759.6504619516575101   -19211.5242398917022477   -2.45309058529567870712    2.38379016043261531162    1.98197217609786312286
   01/01/2026   00:40:00     0.027778       26.2414062756121091    17456.4191185550090104   -18596.3821259080305364   -2.45593338388043789470    2.26049718146482948758    2.11823663656177965079
   01/01/2026   00:45:00     0.031250     -710.3015244571566965    18115.4600308057369684   -17941.0400178957387105   -2.45346824753097331119    2.13231715531807257034    2.24992382662931698651
   01/01/2026   00:50:00     0.034722    -1445.3092300651166496    18735.3483668043057566   -17246.9140727959701760   -2.44570037167464924849    1.99952701296850986917    2.37674893767915563223
   01/01/2026   00:55:00     0.038194    -2177.1931014559550452    19314.7438881768130905   -16515.5043323549411429   -2.43264641693869677203    1.86241367913697193365    2.49843764758553173329
   01/01/2026   01:00:00     0.041667    -2904.3712437226078966    19852.3938560841190224   -15748.3914871431314157   -2.41433447640824012286    1.72127345461037554314    2.61472671713448381165
   01/01/2026   01:05:00     0.045139    -3625.2718978717622806    20347.1357487668208091   -14947.2334651347099808   -2.39080401810743340503    1.57641137770953444015    2.72536456298444569927
   01/01/2026   01:10:00     0.048611    -4338.3368415865665821    20797.8997845680011576   -14113.7618520812792182   -2.36210580276038282360    1.42814056623262925600    2.83011180586223115270
   01/01/2026   01:15:00     0.052083    -5042.0247616228649106    21203.7112447826446022   -13249.7781513002333842   -2.32830177694367782860    1.27678154125786230862    2.92874179272931429432
   01/01/2026   01:20:00     0.055556    -5734.8145904802280191    21563.6925911055550404   -12357.1498908704507960   -2.28946494179858145565    1.12266153424097955946    3.02104109170138641969
   01/01/2026   01:25:00     0.059028    -6415.2088000480181149    21877.0653728878328828   -11437.8065865853984695   -2.24567919752806555546    0.96611377889304149089    3.10680995855653066810
   01/01/2026   01:30:00     0.062500    -7081.7366450029425264    22143.1519198646915125   -10493.7355693547324229   -2.19703916396172339387    0.80747678937070058267    3.18586277372402878355
   01/01/2026   01:35:00     0.065972    -7732.9573488282020937    22361.3768164837068539    -9526.9776860688341076   -2.14364997752992808783    0.64709362635492590876    3.25802844870678278105
   01/01/2026   01:40:00     0.069444    -8367.4632254355348158    22531.2681544414879919    -8539.6228832451528348   -2.08562706504718538346    0.48531115263423821695    3.32315080095553804125
   01/01/2026   01:45:00     0.072917    -8983.8827295002276259    22652.4585605271087925    -7533.8056830594698279   -2.02309589476318786323    0.32247927984472341299    3.38108889628242575563
   01/01/2026   01:50:00     0.076389    -9580.8834287654707103    22724.6859973712229728    -6511.7005616280455396   -1.95619170519833210549    0.15895020805103517747    3.43171735797464691215
   01/01/2026   01:55:00     0.079861   -10157.1748917361241338    22747.7943352092704412    -5475.5172396468953311   -1.88505921233811410496   -0.00492234012004479058    3.47492664184619530769
   01/01/2026   02:00:00     0.083333   -10711.5114843628296892    22721.7336932841501174    -4427.4958957110642386   -1.80985229581756509344   -0.16878388905944459188    3.51062327654611493091
   01/01/2026   02:05:00     0.086806   -11242.6950695151130892    22646.5605500366786149    -3369.9023128287255466   -1.73073366478241752323   -0.33227998171766679988    3.53873006852561484709
   01/01/2026   02:10:00     0.090278   -11749.5776032562702094    22522.4376217594951335    -2305.0229688112906181   -1.64787450416768755735   -0.49505695134535783176    3.55918627115308614352
   01/01/2026   02:15:00     0.093750   -12231.0636221629099349    22349.6335099201675867    -1235.1600813606755329   -1.56145410218651483800   -0.65676269166288063587    3.57194771755530885294
   01/01/2026   02:20:00     0.097222   -12686.1126161774380732    22128.5221178904104722     -162.6266187877279850   -1.47165945987211611347   -0.81704742368851997263    3.57698691685449291118
   01/01/2026   02:25:00     0.100694   -13113.7412817418256576    21859.5818383488094803      910.2587126189947642   -1.37868488356329565569   -0.97556445746009928094    3.57429311356383546837
   01/01/2026   02:30:00     0.104167   -13513.0256502349418435    21543.3945131525092265     1981.1764934978259294   -1.28273156126884088255   -1.13197094689580514924    3.56387230999854546392
   01/01/2026   02:35:00     0.107639   -13883.1030870226954894    21180.6441679971946108     3047.8116174870237924   -1.18400712388805449472   -1.28592863605689987382    3.54574725165432349952
   01/01/2026   02:40:00     0.111111   -14223.1741567292935553    20772.1155247026310526     4107.8583073611923564   -1.08272519230337065977   -1.43710459509770962464    3.51995737560061741915
   01/01/2026   02:45:00     0.114583   -14532.5043506480824593    20318.6922944712937706     5159.0251101545169039   -0.97910491139623062314   -1.58517194421666644875    3.48655872203110523506
   01/01/2026   02:50:00     0.118056   -14810.4256725306140048    19821.3552559685315799     6199.0398602511629784   -0.87337047206891187383   -1.72981056395608964705    3.44562380920824755251
   01/01/2026   02:55:00     0.121528   -15056.3380793216346838    19281.1801225626611824     7225.6545995082420597   -0.76575062238268388657   -1.87070779023753565795    3.39724147213183257717
   01/01/2026   03:00:00     0.125000   -15269.7107737444735118    18699.3352035408410785     8236.6504435894582663   -0.65647816894644956342   -2.00755909256366982295    3.34151666535264392152
   01/01/2026   03:05:00     0.128472   -15450.0833459846421354    18077.0788645800825840     9229.8423838272854685   -0.54578946971000531118   -2.14006873386641085122    3.27857023044126919854
   01/01/2026   03:10:00     0.131944   -15597.0667620682245298    17415.7567932009540339    10203.0840140975338439   -0.43392391933225339705   -2.26795041053431388565    3.20853862870830111413
   01/01/2026   03:15:00     0.135417   -15710.3441968846937886    16716.7990753631482264    11154.2721723816181179   -0.32112342830712903768   -2.39092787120945436175    3.13157363985552918964
   01/01/2026   03:20:00     0.138889   -15789.6717101600038013    15981.7170897759401820    12081.3514869078278258   -0.20763189703857036245   -2.50873551300508176604    3.04784202731789316955
   01/01/2026   03:25:00     0.142361   -15834.8787640440018096    15212.1002268916192124    12982.3188170024256802   -0.09369468606054101719   -2.62111895385956719315    2.95752517113265026624
   01/01/2026   03:30:00     0.145833   -15845.8685813352322143    14409.6124399253294701    13855.2275790433610156    0.02044191640103081184   -2.72783557980920878384    2.86081866924504780460
   01/01/2026   03:35:00     0.149306   -15822.6183437249299448    13575.9886355996324161    14698.1919481925878843    0.13453122833033814653   -2.82865506603182129846    2.75793190822851846467
   01/01/2026   03:40:00     0.152778   -15765.1792297993639353    12713.0309126458809592    15509.3909268861543307    0.24832670810000282339   -2.92335987058428582687    2.64908760446183710316
   01/01/2026   03:45:00     0.156250   -15673.6762928946874069    11822.6046564066658817    16287.0722713830741801    0.36158248774728976926   -3.01174569982995676549    2.53452131686568722722
