      дата       время       t_сутки             X_км                      Y_км                      Z_км                      Vx_км/с                   Vy_км/с                   Vz_км/с
   01/01/2026   00:00:00     0.000000     5783.7246898031000000   -10961.8383603423009998    22291.8995530483009997    2.28653238800000000006    3.08910416509999999997    0.92578861040000000001
   01/01/2026   00:05:00     0.003472     6463.1878492960477551   -10023.5963332622046247    22545.4441985495743133    2.24240615476245828226    3.16471590293508167635    0.76420475890981525536
   01/01/2026   00:10:00     0.006944     7128.6837999281438796    -9063.6928283461289482    22750.2573665894977744    2.19343444275687818605    3.23348803565419545933    0.60097060753456882435
   01/01/2026   00:15:00     0.010417     7778.7745199831086791    -8084.2023669838852795    22905.8967952644524360    2.13972312199909605614    3.29527212034273124389    0.43643887094961227499
   01/01/2026   00:20:00     0.013889     8412.0552884955936390    -7087.2417475457191109    23012.0264738504483741    2.08138828747984656930    3.34993480359607443309    0.27096504862368181774
   01/01/2026   00:25:00     0.017361     9027.1577156687663974    -6074.9654749518836763    23068.4173636333613651    2.01855600843250524443    3.39735810662436819255    0.10490665995367884445
   01/01/2026   00:30:00     0.020833     9622.7526948895591961    -5049.5611096079347502    23074.9478886260190720    1.95136205647453556502    3.43743967762202364620   -0.06137752469617864864
   01/01/2026   00:35:00     0.024306    10197.5532700877939920    -4013.2445456021810295    23031.6041951790680606    1.87995161318933557174    3.47009301090615269732   -0.22752825547948706371
   01/01/2026   00:40:00     0.027778    10750.3174123607864878    -2968.2552282015544551    22938.4801799643766493    1.80447895775093963475    3.49524763238757985593   -0.39318657550316489903
   01/01/2026   00:45:00     0.031250    11279.8506999710540510    -1916.8513208041153737    22795.7772862821070543    1.72510713522917519540    3.51284925099782757620   -0.55799459263828681400
   01/01/2026   00:50:00     0.034722    11785.0088960212363469     -861.3048316103802722    22603.8040691151008570    1.64200760624748447550    3.52285987575560722218   -0.72159624913146146695
   01/01/2026   00:55:00     0.038194    12264.7004183171328711      196.1032896384870405    22362.9755298264362384    1.55535987869976302905    3.52525789821703281726   -0.88363808744368570717
   01/01/2026   01:00:00     0.041667    12717.8886961467351302     1253.0880744400328086    22073.8122218674897130    1.46535112226628609665    3.52003814011515405238   -1.04377001074684124936
   01/01/2026   01:05:00     0.045139    13143.5944089301603830     2307.3654673628197500    21736.9391293340989595    1.37217576650211350072    3.50721186605661868060   -1.20164603651285635142
   01/01/2026   01:10:00     0.048611    13540.8976019323592688     3356.6572564368768821    21353.0843206769702558    1.27603508330428412273    3.48680676120645025766   -1.35692504163716937452
   01/01/2026   01:15:00     0.052083    13908.9396744772485013     4398.6959915963921497    20923.0773803387530272    1.17713675459660693930    3.45886687395617566164   -1.50927149754666570778
   01/01/2026   01:20:00     0.055556    14246.9252363583777834     5431.2298806770990729    20447.8476215536116580    1.07569442610287703240    3.42345252363594641115   -1.65835619375289972804
   01/01/2026   01:25:00     0.059028    14554.1238284072242539     6452.0276524989656504    19928.4220840049991388    0.97192724811081647831    3.38064017339793059891   -1.80385694832436321768
   01/01/2026   01:30:00     0.062500    14829.8715034555386385     7458.8833766131284713    19365.9233204929531738    0.86605940415986133675    3.33052226846614040506   -1.94545930376703859934
   01/01/2026   01:35:00     0.065972    15073.5722642126317741     8449.6212293609047794    18761.5669772128009658    0.75831962861596308005    3.27320704001700248293   -2.08285720682070557889
   01/01/2026   01:40:00     0.069444    15284.6993548718347329     9422.1001959825316927    18116.6591726918139145    0.64894071412569943245    3.20881827502533821962   -2.21575367069968243963
   01/01/2026   01:45:00     0.072917    15462.7964035622895462    10374.2186986243799467    17432.5936808681687751    0.53815900997002918667    3.13749505248192354836   -2.34386141833110486321
   01/01/2026   01:50:00     0.076389    15607.4784130723773830    11303.9191402260962844    16710.8489242265519632    0.42621391236479378947    3.05939144646133059208   -2.46690350517169416575
   01/01/2026   01:55:00     0.079861    15718.4325975890558666    12209.1923544237311567    15952.9847833258292278    0.31334734778036601904    2.97467619659216395232   -2.58461392021544806717
   01/01/2026   02:00:00     0.083333    15795.4190635226844348    13088.0819517816424256    15160.6392294652755632    0.19980325037646208085    2.88353234655590244485   -2.69673816383998609389
   01/01/2026   02:05:00     0.086806    15838.2713328190290447    13938.6885528650042723    14335.5247876357501005    0.08582703466984780109    2.78615685131511462802   -2.80303380117856182200
   01/01/2026   02:10:00     0.090278    15846.8967074984511756    14759.1738988861927613    13479.4248372896923325   -0.02833493542774057132    2.68276015384657029006   -2.90327098974814686787
   01/01/2026   02:15:00     0.093750    15821.2764745061293903    15547.7648309021805941    12594.1897588376592942   -0.14243588004690258460    2.57356573222942342297   -2.99723298011160182888
   01/01/2026   02:20:00     0.097222    15761.4659503057962215    16302.7571288062752615    11681.7329341380430288   -0.25622913810388384139    2.45880961801286871652   -3.08471658840384006729
   01/01/2026   02:25:00     0.100694    15667.5943650020932871    17022.5192016458963487    10744.0266095893134271   -0.36946870216879343119    2.33873988686111971050   -3.16553263960808882157
   01/01/2026   02:30:00     0.104167    15539.8645861323853410    17705.4956211083193800     9783.0976307593331391   -0.48190975226875859295    2.21361612254584487328   -3.23950638052884732775
   01/01/2026   02:35:00     0.107639    15378.5526826267993163    18350.2104903480087650     8801.0230577927070144   -0.59330918743036268416    2.08370885542693559406   -3.30647786147286622781
   01/01/2026   02:40:00     0.111111    15184.0073297943830415    18955.2706406817946814     7799.9256711235036024   -0.70342615376340786424    1.94929897663125039275   -3.36630228571833651249
   01/01/2026   02:45:00     0.114583    14956.6490565525734020    19519.3686490510659723     6781.9693772858020897   -0.81202256788925937503    1.81067712920537491554   -3.41885032592530764030
   01/01/2026   02:50:00     0.118056    14696.9693364755460081    20041.2856695425757536     5749.3545248572104187   -0.91886363452192068650    1.66814307758201855374   -3.46400840671697649877
   01/01/2026   02:55:00     0.121528    14405.5295245933709563    20519.8940726704832009     4704.3131407896715044   -1.02371835701864299267    1.52200505676003355090   -3.50167895274162998078
   01/01/2026   03:00:00     0.125000    14082.9596422270775138    20954.1598865508539937     3649.1040975765085643   -1.12636003972938993219    1.37257910265475793798   -3.53178060160840864455
   01/01/2026   03:05:00     0.128472    13729.9570124935719289    21343.1450345448621100     2586.0082218738380360   -1.22656678099088023307    1.22018836512807628074   -3.55424838117632702441
   01/01/2026   03:10:00     0.131944    13347.2847494576855825    21686.0093644071092509     1517.3233553373879958   -1.32412195563124591643    1.06516240525586669725   -3.56903385076476719348
   01/01/2026   03:15:00     0.135417    12935.7701042452889517    21982.0124644494323132      445.3593785517126205   -1.41881468587552357250    0.90783647843403816869   -3.57610520594452344556
   01/01/2026   03:20:00     0.138889    12496.3026717602365041    22230.5152627168304846     -627.5667909827695019   -1.51044029957018621421    0.74855080496283467133   -3.57544734666096932852
   01/01/2026   03:25:00     0.142361    12029.8324619677846794    22430.9814056691577999    -1699.1362157789802725   -1.59880077467660288619    0.58764982978224761852   -3.56706190853456008667
   01/01/2026   03:30:00     0.145833    11537.3678400169605025    22582.9784133683642544    -2767.0329591503955973   -1.68370516901854336115    0.42548147305901270240   -3.55096725727817932438
   01/01/2026   03:35:00     0.149306    11019.9733397731159741    22686.1786086846483137    -3828.9490987940546938   -1.76497003430744061735    0.26239637334761673547   -3.52719844626528183712
   01/01/2026   03:40:00     0.152778    10478.7673556186032453    22740.3598185541805989    -4882.5897221314657903   -1.84241981351086850697    0.09874712506390284872   -3.49580713737686885924
   01/01/2026   03:45:00     0.156250     9914.9197176532398190    22745.4058458443295230    -5925.6778924219311939   -1.91588722067434773211   -0.06511248797981903416   -3.45686148534855688919
   01/01/2026   03:50:00     0.159722     9329.6491556861676084    22701.3067109078111052    -6955.9595747430147497   -1.98521360235388452263   -0.22882826122475179865   -3.41044598593088403040
   01/01/2026   03:55:00     0.163194     8724.2206576560964262    22608.1586624331578168    -7971.2085110403796593   -2.05024927986629447148   -0.39204633844855738911   -3.35666128826606934401
   01/01/2026   04:00:00     0.166667     8099.9427283471001999    22466.1639577236395375    -8969.2310335834253365   -2.11085387161605583339   -0.55441397953606642992   -3.29562397197227363024
   01/01/2026   04:05:00     0.170139     7458.1645544815355420    22275.6304130586019649    -9947.8708063233143299   -2.16689659481086823877   -0.71558032520497210271   -3.22746628951158842646
   01/01/2026   04:10:00     0.173611     6800.2730824698045451    22036.9707253084972507   -10905.0134838352539202   -2.21825654593293554863   -0.87519715697141824319   -3.15233587450015357721
   01/01/2026   04:15:00     0.177083     6127.6900152782103173    21750.7015664861208339   -11838.5912777363281831   -2.26482295938893167194   -1.03291965066312474593   -3.07039541669763043231
   01/01/2026   04:20:00     0.180556     5441.8687350407744927    21417.4424534202710628   -12746.5874207027211806   -2.30649544381832284981   -1.18840712181515703496   -2.98182230448847765685
   01/01/2026   04:25:00     0.184028     4744.2911581884143533    21037.9143952328371068   -13627.0405184647086809   -2.34318419559690256713   -1.34132376131534719003   -2.88680823573883813763
   01/01/2026   04:30:00     0.187500     4036.4645299992182026    20612.9383217849199994   -14478.0487804331421913   -2.37481018912974699091   -1.49133935970235111297   -2.78555879798018314001
   01/01/2026   04:35:00     0.190972     3319.9181655867033442    20143.4332967308282427   -15297.7741199060721318   -2.40130534358503721607   -1.63813001855903291482   -2.67829301893402232297
   01/01/2026   04:40:00     0.194444     2596.2001444389650746    19630.4145192796038675   -16084.4461151173946831   -2.42261266577705785662   -1.78137884748691891737   -2.56524288845090420999
   01/01/2026   04:45:00     0.197917     1866.8739657006771568    19074.9911192111777556   -16836.3658227196741315   -2.43868636896292787278   -1.92077664519348621905   -2.44665285299155356035
   01/01/2026   04:50:00     0.201389     1133.5151714522018742    18478.3637501274925334   -17551.9094356393050784   -2.44949196737303387492   -2.05602256327265975637   -2.32277928382833390554
   01/01/2026   04:55:00     0.204861      397.7079452858902240    17841.8219863372464662   -18229.5317776026563550   -2.45500634634952908785   -2.18682475130971183956   -2.19388992019133667881
   01/01/2026   05:00:00     0.208333     -338.9583064906690368    17166.7415291756953124   -18867.7696270055273917   -2.45521780802047044374   -2.31290098199442657333   -2.06026328862537086418
   01/01/2026   05:05:00     0.211806    -1074.8923836807830472    16454.5812289476988362   -19465.2448631839231457   -2.45012609248906229847   -2.43397925498055557169   -1.92218809986209646220
   01/01/2026   05:10:00     0.215278    -1808.5047237119514336    15706.8799290525158527   -20020.6674285406384648   -2.43974237456795165803   -2.54979837828492738217   -1.77996262454566045387
   01/01/2026   05:15:00     0.218750    -2538.2108285104757988    14925.2531392024307975   -20532.8381003883087708   -2.42408923613750983237   -2.66010852607577345493   -1.63389404918066007718
   01/01/2026   05:20:00     0.222222    -3262.4346794423692091    14111.3895449839185474   -21000.6510667843665612   -2.40320061425448835112   -2.76467177175662827122   -1.48429781369826905549
   01/01/2026   05:25:00     0.225694    -3979.6121330703941903    13267.0473613295812747   -21423.0963010557419377   -2.37712172518334697723   -2.86326259530930485472   -1.33149693206016789368
   01/01/2026   05:30:00     0.229167    -4688.1942905354407882    12394.0505377714489503   -21799.2617301402326806   -2.34590896456692253797   -2.95566836391673472468   -1.17582129734074315047
   01/01/2026   05:35:00     0.232639    -5386.6508334419257573    11494.2848236314065513   -22128.3351923063904803   -2.30962978399598873138   -3.04168978494372368613   -1.01760697274613308438
   01/01/2026   05:40:00     0.236111    -6073.4733192110103701    10569.6937015725244020   -22409.6061802537467376   -2.26836254427870109298   -3.12114133041078209668   -0.85719547004432995448
   01/01/2026   05:45:00     0.239583    -6747.1784289617803840     9622.2741981859838729   -22642.4673660395297929   -2.22219634575102296969   -3.19385163215305317415   -0.69493301689396802187
   01/01/2026   05:50:00     0.243056    -7406.3111610887178182     8654.0725805221900186   -22826.4159047260745083   -2.17123083600807945874   -3.25966384691293669068   -0.53116981457084946471
   01/01/2026   05:55:00     0.246528    -8049.4479638234640730     7667.1799476916345553   -22961.0545140943318145   -2.11557599547411317770   -3.31843599067128401680   -0.36625928760092265609
   01/01/2026   06:00:00     0.250000    -8675.1998001997073882     6663.7277268612018215   -23046.0923282227495061   -2.05535190126543527707   -3.37004124157805442391   -0.20055732681650906307
   01/01/2026   06:05:00     0.253472    -9282.2151389817435749     5645.8830831549666924   -23081.3455231868700217   -1.99068846983661670185   -3.41436821089914223555   -0.03442152735925658995
   01/01/2026   06:10:00     0.256944    -9869.1828652696155837     4615.8442531351608080   -23066.7377135928751670   -1.92172517893527343045   -3.45132118145181041057    0.13178957684129944517
   01/01/2026   06:15:00     0.260417   -10434.8351046565323816     3575.8358116888912983   -23002.3001191176357487   -1.84861076942529893347   -3.48082031305692702261    0.29771728058045261091
   01/01/2026   06:20:00     0.263889   -10977.9499549873349826     2528.1038822793518448   -22888.1715006882528165   -1.77150292757240099880   -3.50280181459214886935    0.46300347534609209433
   01/01/2026   06:25:00     0.267361   -11497.3541199499858871     1474.9113006365888319   -22724.5978663952754761   -1.69056794841941758544   -3.51721808228649451583    0.62729141620327568578
   01/01/2026   06:30:00     0.270833   -11991.9254389253044968      418.5327420622437514   -22511.9319476954154897   -1.60598038091220289027   -3.52403780395357812917    0.79022648605647611078
   01/01/2026   06:35:00     0.274306   -12460.5953077233764947     -638.7501773950983068   -22250.6324469213056929   -1.51792265546996048178   -3.52324602891830730147    0.95145695575066002931
