      дата       время       t_сутки             X_км                      Y_км                      Z_км                      Vx_км/с                   Vy_км/с                   Vz_км/с
   01/01/2026   00:00:00     0.000000      302.0803208537000000   -17755.4227358132009993   -18310.1490701066000000    2.45547018880000000006   -2.20372185920000000000    2.17746793170000000001
   01/01/2026   00:05:00     0.003472     1038.1295574973045377   -18397.1166005220925381   -17637.3558837471368559    2.45064083769025827550   -2.07346626791496136582    2.30701230816893196004
   01/01/2026   00:10:00     0.006944     1771.9351766751454017   -18999.0541309263082272   -16926.4401404746014652    2.44051540036240742016   -1.93872734450704532099    2.43157249007119852886
   01/01/2026   00:15:00     0.010417     2501.9113197199563636   -19559.9337470219129251   -16178.9377915404430706    2.42511556336078672809   -1.79979612241826395652    2.55087903129042661691
   01/01/2026   00:20:00     0.013889     3226.4803461050705420   -20078.5425595195906823   -15396.4639372767306922    2.40447441850812164031   -1.65697273356541103302    2.66467381317481552278
   01/01/2026   00:25:00     0.017361     3944.0762454783247768   -20553.7590029255083586   -14580.7093438817000486    2.37863639512278406477   -1.51056576198531700345    2.77271060693692178965
   01/01/2026   00:30:00     0.020833     4653.1480256590753108   -20984.5552718342511405   -13733.4367952400525486    2.34765716757327179334   -1.36089157849975691660    2.87475561081052794670
   01/01/2026   00:35:00     0.024306     5352.1630692181587685   -21369.9995549492981528   -12856.4772875386701223    2.31160353830325457076   -1.20827365780680576418    2.97058796072213684839
   01/01/2026   00:40:00     0.027778     6039.6104513074805533   -21709.2580617774782414   -11951.7260748020952974    2.27055329650035367666   -1.05304187946580224628    3.06000021329582607083
   01/01/2026   00:45:00     0.031250     6714.0042114565405571   -22001.5968373924960382   -11021.1385738206549867    2.22459505256157793508   -0.89553181429291264093    3.14279880002999029826
   01/01/2026   00:50:00     0.034722     7373.8865721041276817   -22246.3833611135222554   -10066.7261373114420726    2.17382804861376380061   -0.73608399763438020285    3.21880445134248591643
   01/01/2026   00:55:00     0.038194     8017.8310967944213110   -22443.0879253821078763    -9090.5517045217309464    2.11836194591260443330   -0.57504319103626109068    3.28785258949468884031
   01/01/2026   01:00:00     0.041667     8644.4457811843182151   -22591.2847916353841651    -8094.7253386659999994    2.05831658947727378999   -0.41275763420005095859    3.34979368999946841611
   01/01/2026   01:05:00     0.045139     9252.3760700064192832   -22690.6531205195696579    -7081.3996608095630405    1.99382174989218255380   -0.24957828887047834571    3.40449361032810373057
