      дата       время       t_сутки             X_км                      Y_км                      Z_км                      Vx_км/с                   Vy_км/с                   Vz_км/с
   01/01/2026   00:00:00     0.000000    -6342.5884509977999999    21846.7296405545999995   -11540.4468906425989996   -2.25057164309999999997    0.98288985280000000001    3.09757316430000000009
   01/01/2026   00:05:00     0.003472    -7010.6636908089186067    22117.8857187756648681   -10599.0379036434541282   -2.20246093643380322618    0.82449130964851168382    3.17735630633803417338
   01/01/2026   00:10:00     0.006944    -7663.5889501460393278    22341.2459928950324510    -9634.7197892782400910   -2.14958994636459494853    0.66430856188366693824    3.25027311875530027039
   01/01/2026   00:15:00     0.010417    -8299.9530117459153367    22516.3270478967336246    -8649.5765041669709872   -2.09207282303325552120    0.50268783889142706911    3.31616571973034324249
   01/01/2026   00:20:00     0.013889    -8918.3804193903564128    22642.7498281879306745    -7645.7370998634590422   -2.03003378059805902238    0.33997851508472060143    3.37489141325738209063
   01/01/2026   00:25:00     0.017361    -9517.5344576069198261    22720.2404676384854394    -6625.3711192133766903   -1.96360683021149320146    0.17653235234052423795    3.42632300289842878205
   01/01/2026   00:30:00     0.020833   -10096.1200479974345248    22748.6308914410505473    -5590.6839036310036599   -1.89293549132583228760    0.01270273665005856997    3.47034907178316508127
   01/01/2026   00:35:00     0.024306   -10652.8865557829495332    22727.8591883121699659    -4543.9118215274633727   -1.81817248193656585964   -0.15115608930391697813    3.50687422815568440246
   01/01/2026   00:40:00     0.027778   -11186.6305003447739219    22657.9697520720941526    -3487.3174283213719731   -1.73947938842822304238   -0.31468979590941389932    3.53581931584872907639
   01/01/2026   00:45:00     0.031250   -11696.1981637487867456    22539.1131921632540021    -2423.1845686360236745   -1.65702631574120661298   -0.47754473697971658753    3.55712158915059920255
   01/01/2026   00:50:00     0.034722   -12180.4880914636861862    22371.5460131930064236    -1353.8134314346625627   -1.57099151863065831191   -0.63936871894394591438    3.57073485161712864512
   01/01/2026   00:55:00     0.038194   -12638.4534797227718892    22155.6300641137180154     -281.5155689662981713   -1.48156101483881202300   -0.79981176711439505822    3.57662955847063253854
   01/01/2026   01:00:00     0.041667   -13069.1044442325772614    21891.8317581808055454      791.3911095117151437   -1.38892818105046234392   -0.95852688727386526859    3.57479288231911330174
   01/01/2026   01:05:00     0.045139   -13471.5101651994678109    21580.7210653552884789     1862.5873582019931169   -1.29329333254680370053   -1.11517082083449073967    3.56522874202182629352
