      дата       время       t_сутки             X_км                      Y_км                      Z_км                      Vx_км/с                   Vy_км/с                   Vz_км/с
   01/01/2026   00:00:00     0.000000    14521.7320545039999997    -6342.0611937956999999   -19986.9787078274999992   -0.98293070900000000000    3.38565581240000000010   -1.78845903880000000003
   01/01/2026   00:05:00     0.003472    14211.2681710120698755    -5319.8778151454547940   -20501.7227222078399969   -1.08645541538917621803    3.42767247986907455486   -1.64254987931054979237
   01/01/2026   00:10:00     0.006944    13870.0937725430916725    -4286.1985334219668613   -20972.1538212571292643   -1.18763061900056890344    3.46228140552712652413   -1.49309283264641636825
   01/01/2026   00:15:00     0.010417    13498.9466187914727824    -3243.2572528426471181   -21397.2559164314941604   -1.28623781640817138770    3.48940805991814925204   -1.34041096345209319676
   01/01/2026   00:20:00     0.013889    13098.6291971093955713    -2193.3078156445466065   -21776.1108959698566458   -1.38206407053347650558    3.50899407548800799993   -1.18483426802873899678
   01/01/2026   00:25:00     0.017361    12670.0069837379160527    -1138.6191344414003248   -22107.9005978554850937   -1.47490246761932263019    3.52099736794028581174   -1.02669896184913586861
   01/01/2026   00:30:00     0.020833    12214.0065699029535757      -81.4702933955938670   -22391.9085670841365516   -1.56455256100582838980    3.52539222275795773812   -0.86634675434029474235
   01/01/2026   00:35:00     0.024306    11731.6136568698200122      975.8543713273396360   -22627.5215936479918142   -1.65082080081851948926    3.52216934678627168723   -0.70412411246183817407
   01/01/2026   00:40:00     0.027778    11223.8709243121381984     2031.0702013326077515   -22814.2310281047812577   -1.73352094871061325682    3.51133588483805656713   -0.54038151461962730435
   01/01/2026   00:45:00     0.031250    10691.8757766035763055     3081.8971455074284220   -22951.6338720647663134   -1.81247447683371401984    3.49291540134723538886   -0.37547269646326998139
   01/01/2026   00:50:00     0.034722    10136.7779718836591991     4126.0646787959443440   -23039.4336413939609507   -1.88751095024382913479    3.46694782715969053509   -0.20975389012335885118
   01/01/2026   00:55:00     0.038194     9559.7771389819034420     5161.3166998001599430   -23077.4410003995896741   -1.95846839198261447933    3.43348937161293154044   -0.04358305844972172330
   01/01/2026   01:00:00     0.041667     8962.1201875075575369     6185.4163968239414948   -23065.5741657327728156   -2.02519363010709984576    3.39261240011739009835    0.12268087418423031161
   01/01/2026   01:05:00     0.045139     8345.0986166252070682     7196.1510720500749705   -23003.8590792133352974   -2.08754262597485424247    3.34440527751275994118    0.28867879294368576639
   01/01/2026   01:10:00     0.048611     7710.0457282393088918     8191.3369136314096668   -22892.4293492520084783   -2.14538078312567574105    3.28897217753276128105    0.45405216389293060906
   01/01/2026   01:15:00     0.052083     7058.3337505032152510     9168.8237055860616893   -22731.5259610157107613   -2.19858323613549575524    3.22643285877118816572    0.61844380408650188321
   01/01/2026   01:20:00     0.055556     6391.3708777502819558    10126.4994655133859842   -22521.4967559516323838   -2.24703511885335386819    3.15692240760123138269    0.78149864882529348776
   01/01/2026   01:25:00     0.059028     5710.5982331160426320    11062.2950002918647163   -22262.7956817550892392   -2.29063181146811792668    3.08059094855898479306    0.94286451451529712162
   01/01/2026   01:30:00     0.062500     5017.4867602809632383    11974.1883700821543348   -21955.9818143341117853   -2.32927916588819393894    2.99760332276084668908    1.10219285557154446950
   01/01/2026   01:35:00     0.065972     4313.5340509127267463    12860.2092511382636024   -21601.7181537900351032   -2.36289370895489401537    2.90813873498330583518    1.25913951381629228067
   01/01/2026   01:40:00     0.069444     3600.2611145250655218    13718.4431881272023679   -21200.7701968974596056   -2.39140282304851129001    2.81239037009241544932    1.41336545882868393231
