      дата       время       t_сутки             X_км                      Y_км                      Z_км                      Vx_км/с                   Vy_км/с                   Vz_км/с
   01/01/2026   00:00:00     0.000000    -5783.7246898031000000    10961.8383603423009998   -22291.8995530483009997   -2.28653238800000000006   -3.08910416509999999997   -0.92578861040000000001
   01/01/2026   00:05:00     0.003472    -6463.1878649792846350    10023.5963296789036754   -22545.4441963507511293   -2.24240625907565065914   -3.16471592322399193045   -0.76420474540218519960
   01/01/2026   00:10:00     0.006944    -7128.6838623631895699     9063.6928183960041903   -22750.2573591666876744   -2.19343464985575150629   -3.23348805401048293635   -0.60097058733545162594
   01/01/2026   00:15:00     0.010417    -7778.7746597593862856     8084.2023547140542825   -22905.8967816064018201   -2.13972343022147317012   -3.29527211350520247133   -0.43643885065900172302
   01/01/2026   00:20:00     0.013889    -8412.0555356863121172     7087.2417440957612351   -23012.0264548846928445   -2.08138869504822775539   -3.34993474759970812690   -0.27096503455248526415
   01/01/2026   00:25:00     0.017361    -9027.1580997969387861     6074.9654987135837469   -23068.4173421253073712   -2.01855651345490568664   -3.39735797714346293165   -0.10490665802495377903
   01/01/2026   00:30:00     0.020833    -9622.7532448912597269     5049.5611862821354370   -23074.9478690448043672   -1.95136265692501879691   -3.43743945031147544555    0.06137750906942459571
   01/01/2026   00:35:00     0.024306   -10197.5540142664118850     4013.2447081546509802   -23031.6041835236918889   -1.87995230686739834669   -3.47009266173196239021    0.22752821753625404206
   01/01/2026   00:40:00     0.027778   -10750.3183783259265454     2968.2555167223690589   -22938.4801835448630634   -1.80447974221987280210   -3.49524713793827035923    0.39318651129140856843
   01/01/2026   00:45:00     0.031250   -11279.8519145559133596     1916.8517822774245216   -22795.7773134520294143   -1.72510800773446183786   -3.51284858876927751211    0.55799449918123494060
   01/01/2026   00:50:00     0.034722   -11785.0103851727365010      861.3055196035371498   -22603.8041289535777789   -1.64200856361715916945   -3.52285902440282319812    0.72159612459708227534
   01/01/2026   00:55:00     0.038194   -12264.7022069537805899     -196.1023153556880918   -22362.9756317696312173   -1.55536091722941139932   -3.52525683776752801974    0.88363793131075493270
   01/01/2026   01:00:00     0.041667   -12717.8908079800850723    -1253.0867483338430167   -22073.8123752916315929   -1.46535223759198845648   -3.52003685213981734104    1.04376982396096799205
   01/01/2026   01:05:00     0.045139   -13143.5968662468208983    -2307.3637186185315002   -21736.9393430940167544   -1.37217695346511709905   -3.50721033379519320423    1.20164582162596712649
   01/01/2026   01:10:00     0.048611   -13540.9004253346708255    -3356.6550094724305913   -21353.0846026060403613   -1.27603633581152189924   -3.48680496964594932151    1.35692480292428387155
   01/01/2026   01:15:00     0.052083   -13908.9428825820320181    -4398.6931665923692654   -20923.0777367179363573   -1.17713806548137169352   -3.45886480986171192752    1.50927124109429069412
   01/01/2026   01:20:00     0.055556   -14246.9288454544548603    -5431.2263941088808581   -20447.8480565588706934   -1.07569578699002015010   -3.42345017553451508026    1.65835592751398209869
   01/01/2026   01:25:00     0.059028   -14554.1278520737165412    -6452.0234176571472648   -19928.4225991437992356   -0.97192864929078602940   -3.38063753151665487891    1.80385668213544401431
   01/01/2026   01:30:00     0.062500   -14829.8759521442276315    -7458.8783040988628548   -19365.9239140417475316   -0.86606083447574410745   -3.33051932462735415601    1.94545904932400563682
   01/01/2026   01:35:00     0.065972   -15073.5771447988773613    -8449.6152275436809500   -18761.5676436683621198   -0.75832107536746815610   -3.27320378749331334332    2.08285697761032735642
   01/01/2026   01:40:00     0.069444   -15284.7046701796905053    -9422.0931714089389093   -18116.6599022500006058   -0.64894216299373554780   -3.20881470835849255175    2.21575348188490073775
   01/01/2026   01:45:00     0.072917   -15462.8021518705002899   -10374.2105563676471469   -17432.5944589442049981   -0.53816044496520031184   -3.13749116726989265994    2.34386128658885443412
   01/01/2026   01:50:00     0.076389   -15607.4845876088885817   -11303.9097841676030676   -16710.8497310311471900   -0.42621531580278068435   -3.05938723911856717093    2.46690344848279743094
   01/01/2026   01:55:00     0.079861   -15718.4391860224993804   -12209.1816874592432658   -15952.9855935114892853   -0.31334870028678592026   -2.97467166408844886595    2.58461395760689775693
   01/01/2026   02:00:00     0.083333   -15795.4260474600243249   -13088.0698759467150953   -15160.6400118569468276   -0.19980453092341141636   -2.88352748613962333452    2.69673831508068000541
